Dataset,AMS,ADNN,T,Bf,Cost_history
1,0.0003126775222254978,0.006414441553432444,0.2445376674639102,50,"[0.0456454944610595, 0.047172327041625904, 0.04524948120117181, 0.04467584609985344, 0.05135466575622551, 0.049020309448242115, 0.05067040443420402, 0.05803086280822745, 0.05586721420288077, 0.06346060752868647]"
2,0.0003126775222254978,0.006414441553432444,1.1451606570277681,53,"[0.04580332756042473, 0.045832891464233326, 0.0461950492858886, 0.04609181404113762, 0.04578949928283684, 0.045579452514648365, 0.04081966400146478, 0.04081370353698724, 0.040768642425537044, 0.040300388336181575]"
3,0.0003126775222254978,0.006414441553432444,0.09959238453178558,55,"[0.06348182678222651, 0.06997324943542481, 0.06477834701538084, 0.06957652091979981, 0.08388330459594737, 0.05472328186035148, 0.05763294219970695, 0.05717327117919914, 0.04727413177490227, 0.05596925735473625]"
4,0.0003126775222254978,0.006414441553432444,1.568232365164204,40,"[0.04870869636535637, 0.048242111206054615, 0.04840423583984368, 0.04832651138305657, 0.048301477432250904, 0.04851176261901848, 0.04837514877319329, 0.04857089042663567, 0.04827596664428704, 0.048481721878051685]"
5,0.0003126775222254978,0.006414441553432444,1.5820416464229927,51,"[0.05291320800781242, 0.05322911262512199, 0.05320884704589836, 0.05328061103820793, 0.04632474899291985, 0.04616286277770989, 0.04630639076232903, 0.04632451057434075, 0.04640748023986809, 0.04638936042785637]"
6,0.00032132275643466065,0.007298174413254008,1.7437638078655848,60,"[0.05087282180786125, 0.05090858459472648, 0.0509116840362548, 0.04182793617248528, 0.041724939346313404, 0.04182674407958977, 0.04182197570800774, 0.04677750587463372, 0.04188110351562493, 0.046969432830810474]"
7,0.00032132275643466065,0.007298174413254008,0.7223080158849875,10,"[0.04313590049743645, 0.04307653427124016, 0.04299952507019036, 0.04306056022644036, 0.03848268508911127, 0.04324271202087395, 0.037359018325805605, 0.03808881759643549, 0.03863646507263177, 0.03835560798645014]"
8,0.00032132275643466065,0.007298174413254008,0.6400388835262223,58,"[0.04179193496704095, 0.041766662597656184, 0.041699666976928645, 0.041746873855590755, 0.04396512031555169, 0.04176094055175775, 0.04269172668457025, 0.04551913261413567, 0.04125906944274896, 0.045591611862182545]"
9,0.00032132275643466065,0.007298174413254008,1.6842032327169312,54,"[0.049086112976074146, 0.04932310104370109, 0.04944326400756828, 0.04939248085021965, 0.04940392494201652, 0.049460906982421796, 0.049590606689453046, 0.049369354248046796, 0.04939701080322258, 0.049396772384643475]"
10,0.00032132275643466065,0.007298174413254008,0.8970072761637771,40,"[0.04893519401550286, 0.048826713562011646, 0.04879190444946282, 0.04791023254394524, 0.04855443954467766, 0.048274059295654224, 0.04486014366149895, 0.04489376068115227, 0.04494645118713372, 0.04500033378601067]"
11,0.00030713117663625265,0.006713733221634393,1.417252589963239,115,"[0.04736592292785637, 0.04727651596069329, 0.047077674865722584, 0.047527809143066334, 0.045331020355224544, 0.04513623237609856, 0.04526831626892083, 0.04518177032470696, 0.044921655654907154, 0.045218486785888606]"
12,0.00030713117663625265,0.006713733221634393,0.6510378864051065,146,"[0.04452254295349114, 0.044851560592651295, 0.044782896041870045, 0.04452898025512688, 0.044662256240844654, 0.0447149467468261, 0.04720665931701653, 0.044729490280151295, 0.044516105651855396, 0.045734901428222584]"
13,0.00030713117663625265,0.006713733221634393,1.2793220810733679,83,"[0.04859640121459954, 0.04833080291748039, 0.04837872505187981, 0.04742338180541984, 0.04434730529785149, 0.04248883247375481, 0.04853584289550774, 0.04840447425842277, 0.04637982368469231, 0.04630996704101555]"
14,0.00030713117663625265,0.006713733221634393,1.5088421603064004,88,"[0.048381109237670826, 0.04801966667175286, 0.04830672264099114, 0.048445243835449146, 0.04825951576232903, 0.04810573577880852, 0.048439044952392506, 0.04833271026611321, 0.04828121185302727, 0.048260231018066334]"
15,0.00030713117663625265,0.006713733221634393,1.3886439693092354,51,"[0.049719591140747, 0.04953410148620598, 0.0498418998718261, 0.04949547767639153, 0.049481172561645435, 0.04943181991577141, 0.04947902679443352, 0.04962660789489739, 0.05035664558410637, 0.04962946891784661]"
16,0.00034840754957461695,0.006760788178872294,0.8265738046819414,24,"[0.045428295135497974, 0.03961612701416009, 0.045280475616455006, 0.0394654464721679, 0.04472305297851555, 0.03953244209289544, 0.039040107727050716, 0.03924252510070794, 0.03931715011596673, 0.03934146881103509]"
17,0.00034840754957461695,0.006760788178872294,0.23970171100967078,40,"[0.048541088104247974, 0.04848100662231438, 0.05106546401977531, 0.04776503562927239, 0.0560851287841796, 0.05148484230041496, 0.05792262077331535, 0.058378000259399335, 0.0541455936431884, 0.0591817092895507]"
18,0.00034840754957461695,0.006760788178872294,1.2385987152473397,25,"[0.043542165756225513, 0.04351880073547356, 0.04319693565368645, 0.0561599922180175, 0.04281069755554192, 0.04271318435668938, 0.05262138366699211, 0.04263879776000969, 0.04228450775146477, 0.04271342277526848]"
19,0.00034840754957461695,0.006760788178872294,0.6450175499157969,25,"[0.04466440200805657, 0.04382373809814446, 0.04354335784912102, 0.04368855476379387, 0.04283072471618645, 0.04300786972045891, 0.041713256835937434, 0.041831750869750904, 0.04179145812988275, 0.04359485626220696]"
20,0.00034840754957461695,0.006760788178872294,1.4122228761746085,84,"[0.04588200569152825, 0.045876760482788013, 0.04599263191223137, 0.04580428123474114, 0.04586841583251946, 0.04589178085327141, 0.04591133117675774, 0.045846242904663013, 0.0461492729187011, 0.04254271507263177]"
21,0.0003125626224670274,0.006493819700264262,0.9130648597885609,51,"[0.04517724037170403, 0.04495741844177239, 0.044914264678955006, 0.04530384063720696, 0.04483105659484856, 0.04471399307250969, 0.04529597282409661, 0.045050401687622, 0.04509498596191399, 0.04463698387145989]"
22,0.0003125626224670274,0.006493819700264262,0.8459998537949266,10,"[0.04381587028503411, 0.04405691146850579, 0.04408194541931145, 0.04421951293945305, 0.04426910400390618, 0.04397966384887688, 0.04391242980957024, 0.0440435600280761, 0.04382802963256829, 0.04381587028503411]"
23,0.0003125626224670274,0.006493819700264262,0.6577607105536372,10,"[0.04407598495483391, 0.03833653450012201, 0.038233299255371035, 0.0383804035186767, 0.038268346786498965, 0.03940512657165521, 0.04524471282958977, 0.03832914352416986, 0.04399969100952142, 0.03827692985534662]"
24,0.0003125626224670274,0.006493819700264262,0.7607123588122597,26,"[0.04183771133422845, 0.03849222183227533, 0.03895856857299798, 0.03857662200927728, 0.03876711845397943, 0.03892518997192376, 0.04175807952880853, 0.038560886383056575, 0.03863980293273919, 0.03853752136230462]"
25,0.0003125626224670274,0.006493819700264262,0.37767514308256867,56,"[0.04131819725036614, 0.04113223075866693, 0.04132916450500482, 0.042741317749023365, 0.04136278152465814, 0.040501613616943294, 0.04145385742187493, 0.04165055274963372, 0.04080440521240227, 0.04174687385559075]"
