Dataset,AMS,ADNN,T,Bf,Cost_history
1,0.07116078907484304,6.905752325779581,70.79490532888182,95,"[0.07763244628906255, 0.07652594566345218, 0.07632114410400394, 0.0768182468414307, 0.07863738059997563, 0.07558991432189945, 0.07377388000488282, 0.07480217933654787, 0.07400800704956056, 0.07542182922363283]"
2,0.07116078907484304,6.905752325779581,56.09059058565064,56,"[0.07100846290588378, 0.07238389968872071, 0.07373430252075197, 0.07180597305297852, 0.07124402046203614, 0.07217552185058594, 0.07097556114196776, 0.07285096168518068, 0.07149388313293457, 0.07420327186584474]"
3,0.07116078907484304,6.905752325779581,67.88767253239384,96,"[0.079621810913086, 0.0771846961975098, 0.07710697174072269, 0.07707192420959476, 0.07712270736694339, 0.07729532241821294, 0.07915188789367682, 0.07720019340515141, 0.07717706680297855, 0.07695962905883792]"
4,0.07116078907484304,6.905752325779581,57.80884806860762,92,"[0.07919432640075688, 0.08152963638305671, 0.07905246734619145, 0.08186795234680183, 0.07912995338439946, 0.08152272224426277, 0.07910682678222661, 0.08136775016784674, 0.0789070320129395, 0.0815732669830323]"
5,0.07116078907484304,6.905752325779581,76.54053516370419,13,"[0.0898065757751466, 0.07973410606384283, 0.07864524841308598, 0.08518888473510752, 0.07843114852905278, 0.08541705131530772, 0.07877518653869633, 0.08541538238525401, 0.07857872962951665, 0.08539535522460948]"
6,0.07603839275983165,6.509976482880484,66.42242441037811,146,"[0.07655264854431156, 0.07601286888122562, 0.07810570716857915, 0.07763769149780278, 0.07784511566162114, 0.07800485610961919, 0.07784821510314946, 0.07660223960876468, 0.07492329597473146, 0.07522799491882326]"
7,0.07603839275983165,6.509976482880484,92.41692908709852,10,"[0.08863522529602062, 0.08698012351989756, 0.08957364082336437, 0.09057309150695812, 0.08473255157470712, 0.08538510322570811, 0.0850804042816163, 0.08481051445007333, 0.08492209434509286, 0.08494617462158212]"
8,0.07603839275983165,6.509976482880484,99.62604707033276,56,"[0.10908796310424825, 0.10895444869995137, 0.10889961242675801, 0.10872365951538106, 0.10873724937438985, 0.10857345581054707, 0.10895182609558125, 0.10852910995483418, 0.10875441551208516, 0.10863496780395528]"
9,0.07603839275983165,6.509976482880484,85.77495654487099,45,"[0.09484745979309095, 0.09503867149353042, 0.09533669471740737, 0.09552957534790053, 0.09504391670227064, 0.09463335990905775, 0.09534337043762221, 0.09524132728576674, 0.08600689888000498, 0.09364416122436536]"
10,0.07603839275983165,6.509976482880484,74.2229338638312,97,"[0.07930590629577641, 0.07963325500488287, 0.07941963195800787, 0.08231927871704109, 0.07949854850769049, 0.07956983566284186, 0.07942821502685553, 0.07948996543884283, 0.0781901073455811, 0.07448913574218752]"
11,0.06743109178078872,5.968804526305974,63.536566859928186,50,"[0.07894255638122563, 0.07891656875610356, 0.07927371978759772, 0.07891346931457524, 0.07907773971557622, 0.08461668014526376, 0.0800497722625733, 0.08457233428955087, 0.08030154228210455, 0.08463217735290536]"
12,0.06743109178078872,5.968804526305974,95.93127886043104,31,"[0.1029663276672365, 0.10353972434997576, 0.10347415924072283, 0.10324575424194353, 0.10295583724975603, 0.10301591873168962, 0.09355594635009779, 0.09344126701354993, 0.09290649414062513, 0.09652115821838393]"
13,0.06743109178078872,5.968804526305974,71.34163333293824,21,"[0.07772304534912114, 0.07435156822204592, 0.07747914314270024, 0.07424952507019045, 0.07771207809448247, 0.07437040328979494, 0.07757856369018559, 0.07483984947204592, 0.0776553344726563, 0.07487394332885744]"
14,0.06743109178078872,5.968804526305974,79.8892437668893,100,"[0.08000566482543951, 0.08331419944763192, 0.07969595909118658, 0.08332278251647958, 0.07968999862670904, 0.0798044395446778, 0.0828709793090821, 0.08022858619689947, 0.08024122238159186, 0.08003046035766608]"
15,0.06743109178078872,5.968804526305974,86.95560985433968,74,"[0.089119691848755, 0.08958365440368664, 0.08939053535461437, 0.08977796554565441, 0.09000350952148449, 0.08978654861450207, 0.08947255134582531, 0.08931018829345715, 0.08935691833496105, 0.08942892074584972]"
16,0.06788996129103056,6.152987614670755,84.87542925130303,10,"[0.0938487243652345, 0.09151937484741224, 0.08073760986328131, 0.0928111267089845, 0.09275152206420911, 0.09261800765991224, 0.09326364517211927, 0.0925061893463136, 0.09220458984375013, 0.09210612297058118]"
17,0.06788996129103056,6.152987614670755,76.83655888361686,51,"[0.07209112167358399, 0.07737948417663579, 0.07186271667480469, 0.07737829208374028, 0.07178523063659668, 0.07722546577453618, 0.07185151100158692, 0.07583167076110843, 0.0712986183166504, 0.07462527275085451]"
18,0.06788996129103056,6.152987614670755,72.45941889990264,10,"[0.07856919288635258, 0.07688524246215823, 0.08228590011596687, 0.0695474338531494, 0.06770994186401365, 0.06756236076354978, 0.06763984680175779, 0.06668045043945309, 0.06704594612121578, 0.06650068283081051]"
19,0.06788996129103056,6.152987614670755,59.16141313849774,76,"[0.07284404754638672, 0.07368971824645998, 0.0743332099914551, 0.07311918258666994, 0.07431509017944338, 0.07323767662048342, 0.07434560775756838, 0.07313897132873537, 0.07452585220336916, 0.07316400527954103]"
20,0.06788996129103056,6.152987614670755,56.18375550400562,22,"[0.06800343513488767, 0.07100250244140625, 0.0681605529785156, 0.07090737342834472, 0.0679469299316406, 0.07113863945007325, 0.06800367355346677, 0.07074906349182128, 0.06798674583435056, 0.07086302757263183]"
21,0.0753368805449031,6.301914462240259,91.53638795504939,63,"[0.09008719444274914, 0.08695103645324717, 0.08998419761657726, 0.08867551803588879, 0.08954193115234386, 0.09059645652771008, 0.08960988044738781, 0.09016849517822277, 0.08953787803649914, 0.08829142570495617]"
22,0.0753368805449031,6.301914462240259,51.169917574347664,94,"[0.06742336273193357, 0.06629898071289059, 0.06737758636474607, 0.06618859291076656, 0.06752826690673826, 0.06629659652709957, 0.0675649833679199, 0.06606628417968746, 0.06739260673522947, 0.0660419654846191]"
23,0.0753368805449031,6.301914462240259,87.59162698272466,100,"[0.08400752067565927, 0.08449437141418466, 0.08376671791076669, 0.08373453140258798, 0.08394290924072274, 0.08398415565490731, 0.08390190124511727, 0.08404137611389169, 0.08404709815979013, 0.08407642364501962]"
24,0.0753368805449031,6.301914462240259,78.56740723452992,51,"[0.08639409065246592, 0.08257534027099617, 0.08646084785461436, 0.08276845932006843, 0.08595396995544444, 0.08292581558227546, 0.08625127792358409, 0.08285738945007332, 0.08591916084289561, 0.0829463195800782]"
25,0.0753368805449031,6.301914462240259,73.96346047707137,158,"[0.0804164600372315, 0.08250691413879402, 0.08005787849426275, 0.0818333816528321, 0.08035089492797858, 0.082687635421753, 0.08053590774536139, 0.08037139892578131, 0.08009936332702643, 0.08043744087219244]"
