Dataset,AMS,ADNN,T,Bf,Cost_history
1,0.9526299392885086,7.734951514027222,76.6877262115963,97,"[0.0818927478790284, 0.08047797203063971, 0.08147074699401863, 0.08045579910278326, 0.08151103973388679, 0.08062078475952154, 0.08176376342773445, 0.08041717529296881, 0.08186437606811531, 0.08061220169067389]"
2,0.9526299392885086,7.734951514027222,66.16897319067719,145,"[0.07034995079040526, 0.07100798606872558, 0.07148673057556153, 0.06468750953674311, 0.07156612396240235, 0.06437708854675286, 0.0718038272857666, 0.06440808296203607, 0.07173492431640625, 0.06452204704284661]"
3,0.9526299392885086,7.734951514027222,96.7333456518717,96,"[0.09306551933288587, 0.09208967208862318, 0.09303047180175794, 0.09218337059021009, 0.09344722747802749, 0.09224416732788099, 0.09330441474914565, 0.09227325439453138, 0.09338953018188491, 0.09222270965576185]"
4,0.9526299392885086,7.734951514027222,75.68047864985783,79,"[0.0745482635498047, 0.07474734306335451, 0.07835151672363286, 0.07461502075195314, 0.07838012695312505, 0.07491852760314943, 0.0782962036132813, 0.0749285411834717, 0.07902481079101567, 0.07501317977905275]"
5,0.9526299392885086,7.734951514027222,63.08731577838749,119,"[0.06687833786010738, 0.06740428924560543, 0.06642176628112789, 0.0668206405639648, 0.06626822471618649, 0.06730296134948727, 0.0662253093719482, 0.06704213142395016, 0.06639697074890133, 0.06594564437866206]"
6,0.9078596491507305,7.346517468417498,52.316862880223134,64,"[0.06764699935913084, 0.06990363121032714, 0.06738974571228024, 0.0698974323272705, 0.06751038551330564, 0.0697915744781494, 0.06755949974060056, 0.06996061325073241, 0.06713320732116695, 0.0664067459106445]"
7,0.9078596491507305,7.346517468417498,80.5755787172031,144,"[0.08077718734741217, 0.08380605697631845, 0.08166100502014167, 0.08389188766479501, 0.08141042709350593, 0.0841813278198243, 0.08156849861145027, 0.08397056579589852, 0.08211566925048835, 0.08160855293273933]"
8,0.9078596491507305,7.346517468417498,68.984270950978,143,"[0.07226254463195801, 0.06469799995422358, 0.07251789093017579, 0.06456353187561029, 0.07262231826782227, 0.06456114768981927, 0.07231976509094239, 0.06454708099365228, 0.07213332176208496, 0.06452967643737786]"
9,0.9078596491507305,7.346517468417498,67.64902219717655,83,"[0.0746841621398926, 0.07278420448303223, 0.07430793762207033, 0.07304336547851564, 0.07471801757812502, 0.07304932594299318, 0.07534529685974123, 0.07308675765991213, 0.07534839630126955, 0.07308032035827638]"
10,0.9078596491507305,7.346517468417498,96.99588860492621,70,"[0.08030750274658209, 0.0792708587646485, 0.08000065803527838, 0.07929613113403326, 0.08031012535095221, 0.07831551551818852, 0.07643343925476077, 0.07946755409240729, 0.081267375946045, 0.07984091758728033]"
11,0.9550203832913758,7.845395577881877,86.39279934010746,129,"[0.0769400787353516, 0.07711722373962406, 0.07323505401611329, 0.07708527565002445, 0.0731466007232666, 0.0769400787353516, 0.07402350425720217, 0.07699253082275394, 0.07395007133483888, 0.07682063102722171]"
12,0.9550203832913758,7.845395577881877,59.105944549597,21,"[0.06927611351013181, 0.06644346237182613, 0.0691220951080322, 0.07109524726867676, 0.0704779815673828, 0.06748749732971189, 0.07064249038696288, 0.06757642745971677, 0.07057406425476073, 0.06773855209350584]"
13,0.9550203832913758,7.845395577881877,96.11311939730332,103,"[0.07706787109375003, 0.07694580078125003, 0.07679345130920413, 0.07718922615051273, 0.07719637870788579, 0.0770023059844971, 0.07707693099975589, 0.07707406997680667, 0.07687284469604495, 0.0772316646575928]"
14,0.9550203832913758,7.845395577881877,53.28218302564863,67,"[0.06646635055541988, 0.06537105560302729, 0.06638719558715817, 0.06546499252319331, 0.06633712768554684, 0.06555726051330561, 0.06721212387084957, 0.06703807830810543, 0.06651737213134762, 0.06693293571472164]"
15,0.9550203832913758,7.845395577881877,56.407947223219985,173,"[0.06883050918579099, 0.0675506782531738, 0.06638910293579098, 0.06920911788940427, 0.0681605529785156, 0.06791498184204099, 0.06614257812499996, 0.06867124557495115, 0.06557323455810542, 0.06852509498596189]"
16,0.9904165977591075,7.272913088472145,94.6795793881365,97,"[0.08713032722473155, 0.08208848953247078, 0.0826108646392823, 0.08225085258483894, 0.08254291534423835, 0.08207466125488289, 0.08262350082397468, 0.08229662895202644, 0.082870740890503, 0.08208658218383796]"
17,0.9904165977591075,7.272913088472145,97.74075163537275,95,"[0.09391405105590835, 0.09271766662597669, 0.09386898994445815, 0.09248520851135267, 0.09378268241882338, 0.09244801521301282, 0.09408499717712417, 0.09297635078430189, 0.09401823997497573, 0.08718254089355479]"
18,0.9904165977591075,7.272913088472145,68.48570874635573,139,"[0.07222511291503907, 0.07572819709777835, 0.07161356925964356, 0.07591464042663577, 0.07174446105957032, 0.07609178543090823, 0.07144453048706055, 0.07566573143005374, 0.07026960372924804, 0.07492544174194338]"
19,0.9904165977591075,7.272913088472145,86.71009141748672,87,"[0.08107401847839361, 0.07739259719848636, 0.07671882629394534, 0.08069636344909674, 0.07664277076721195, 0.08062698364257818, 0.07899643898010258, 0.08059432029724127, 0.07847787857055669, 0.07943322181701666]"
20,0.9904165977591075,7.272913088472145,90.35243494731701,167,"[0.08666350364685069, 0.08372642517089852, 0.08268906593322761, 0.08335377693176277, 0.081877727508545, 0.08447482109069833, 0.08228613853454597, 0.08437683105468759, 0.08243777275085457, 0.08459474563598642]"
21,0.9502171646507725,7.763195590488915,95.72112682915882,117,"[0.08214594841003425, 0.0858421516418458, 0.08342768669128427, 0.08594038009643565, 0.08191658973693855, 0.08599593162536631, 0.08331300735473642, 0.08561541557312022, 0.08255340576171882, 0.08374263763427743]"
22,0.9502171646507725,7.763195590488915,62.524074851048844,44,"[0.06003119468688957, 0.07258226394653321, 0.05590369224548332, 0.07362153053283692, 0.0702481460571289, 0.07333328247070314, 0.07005478858947753, 0.07376267433166506, 0.07000281333923339, 0.07388927459716799]"
23,0.9502171646507725,7.763195590488915,51.48304046536771,83,"[0.06840922355651853, 0.06696464538574215, 0.06840803146362302, 0.06673457145690914, 0.0694551658630371, 0.06673910140991207, 0.06940342903137206, 0.06679393768310543, 0.0695624542236328, 0.06696559906005856]"
24,0.9502171646507725,7.763195590488915,91.4650596273716,144,"[0.08313657760620125, 0.08476712226867684, 0.08349897384643562, 0.08481599807739267, 0.08327986717224128, 0.0871072006225587, 0.08537890434265145, 0.08531190872192392, 0.08479930877685556, 0.08531858444213876]"
25,0.9502171646507725,7.763195590488915,84.19950076478895,151,"[0.07664634704589847, 0.07947613716125494, 0.07820012092590337, 0.0807976913452149, 0.06813790321350095, 0.06468274116516108, 0.06871273040771482, 0.06378104209899896, 0.06713439941406246, 0.0645504188537597]"
